127.0.0.1 - - [13/Oct/2022:11:52:08 +0100] "GET /manager HTTP/1.1" 302 -
127.0.0.1 - - [13/Oct/2022:11:52:09 +0100] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [13/Oct/2022:11:52:09 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET / HTTP/1.1" 200 11428
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /tomcat.css HTTP/1.1" 200 5895
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /tomcat.svg HTTP/1.1" 200 68761
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [13/Oct/2022:11:52:32 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [13/Oct/2022:11:54:28 +0100] "GET / HTTP/1.1" 200 11428
127.0.0.1 - - [13/Oct/2022:11:54:28 +0100] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - - [13/Oct/2022:11:54:30 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - admin [13/Oct/2022:11:54:39 +0100] "GET /manager/html HTTP/1.1" 200 17766
127.0.0.1 - - [13/Oct/2022:11:54:39 +0100] "GET /manager/css/manager.css HTTP/1.1" 200 2946
127.0.0.1 - - [13/Oct/2022:11:54:39 +0100] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20712
127.0.0.1 - - [13/Oct/2022:11:54:39 +0100] "GET /manager/images/tomcat.svg HTTP/1.1" 200 68761
127.0.0.1 - admin [13/Oct/2022:12:29:11 +0100] "POST /manager/html/upload;jsessionid=BB4C2524B5532329CCED4DD06EA11894?org.apache.catalina.filters.CSRF_NONCE=031F0BDF69C7EB731C454F814042BAA0 HTTP/1.1" 403 3529
127.0.0.1 - - [13/Oct/2022:12:29:11 +0100] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - admin [13/Oct/2022:12:29:26 +0100] "GET /manager/html HTTP/1.1" 200 16395
127.0.0.1 - admin [13/Oct/2022:12:29:31 +0100] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=77BBD4E0B6A2219053DFB61847DFD2AB HTTP/1.1" 200 18297
127.0.0.1 - - [13/Oct/2022:12:30:02 +0100] "GET /my-webapp/ HTTP/1.1" 404 765
127.0.0.1 - - [13/Oct/2022:12:30:24 +0100] "GET /webapp-javaee7/ HTTP/1.1" 200 52
127.0.0.1 - - [13/Oct/2022:12:56:15 +0100] "GET /webapp-javaee7/ HTTP/1.1" 200 52
127.0.0.1 - - [13/Oct/2022:12:56:15 +0100] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - - [13/Oct/2022:14:34:08 +0100] "GET / HTTP/1.1" 200 11428
127.0.0.1 - - [13/Oct/2022:14:34:08 +0100] "GET /tomcat.svg HTTP/1.1" 200 68761
127.0.0.1 - - [13/Oct/2022:14:34:08 +0100] "GET /tomcat.css HTTP/1.1" 200 5895
127.0.0.1 - - [13/Oct/2022:14:34:08 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [13/Oct/2022:14:34:08 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [13/Oct/2022:14:34:09 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [13/Oct/2022:14:34:09 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
